CFN Alias,Tag Policies Alias,Terraform Resource Type
AWS::IVS::PlaybackRestrictionPolicy,ivs:playback-restriction-policy,
AWS::IVS::StreamKey,ivs:stream-key,
AWS::IVS::PlaybackKeyPair,ivs:playback-key,aws_ivs_playback_key_pair
AWS::IVS::StorageConfiguration,ivs:storage-configuration,
AWS::IVS::Channel,ivs:channel,aws_ivs_channel
AWS::IVS::Stage,ivs:stage,
AWS::IVS::RecordingConfiguration,ivs:recording-configuration,aws_ivs_recording_configuration
AWS::IVS::PublicKey,ivs:public-key,
AWS::IVS::IngestConfiguration,ivs:ingest-configuration,
AWS::MSK::Replicator,kafka:replicator,aws_msk_replicator
AWS::KafkaConnect::WorkerConfiguration,kafkaconnect:worker-configuration,aws_mskconnect_worker_configuration
AWS::KafkaConnect::CustomPlugin,kafkaconnect:custom-plugin,aws_mskconnect_custom_plugin
AWS::Kendra::Index,kendra:index,aws_kendra_index
AWS::Kendra::DataSource,kendra:index/data-source,aws_kendra_data_source
AWS::KendraRanking::ExecutionPlan,kendra-ranking:rescore-execution-plan,
AWS::Kinesis::Stream,kinesis:stream,aws_kinesis_stream
AWS::Kinesis::StreamConsumer,kinesis:stream/consumer,aws_kinesis_stream_consumer
AWS::KinesisAnalytics::Application,kinesisanalytics:application,aws_kinesisanalyticsv2_application
AWS::KinesisVideo::SignalingChannel,kinesisvideo:channel,
AWS::KinesisVideo::Stream,kinesisvideo:stream,aws_kinesis_video_stream
AWS::KMS::Key,kms:key,aws_kms_key
AWS::Lambda::CodeSigningConfig,lambda:code-signing-config,aws_lambda_code_signing_config
AWS::Lambda::EventSourceMapping,lambda:event-source-mapping,aws_lambda_event_source_mapping
AWS::Lambda::Function,lambda:function,aws_lambda_function
AWS::Lex::Bot,lex:bot,aws_lex_bot
AWS::Lex::BotAlias,lex:bot-alias,aws_lex_bot_alias
AWS::LicenseManager::Grant,license-manager:grant,aws_licensemanager_grant
AWS::LicenseManager::License,license-manager:license,
AWS::Lightsail::LoadBalancer,lightsail:LoadBalancer,aws_lightsail_lb
AWS::Lightsail::Distribution,lightsail:Distribution,aws_lightsail_distribution
AWS::Lightsail::Domain,lightsail:Domain,aws_lightsail_domain
AWS::Lightsail::Disk,lightsail:Disk,aws_lightsail_disk
AWS::Lightsail::Certificate,lightsail:Certificate,aws_lightsail_certificate
AWS::Lightsail::Instance,lightsail:Instance,aws_lightsail_instance
AWS::Lightsail::Bucket,lightsail:Bucket,aws_lightsail_bucket
AWS::Lightsail::StaticIp,lightsail:StaticIp,aws_lightsail_static_ip
AWS::Lightsail::Container,lightsail:ContainerService,aws_lightsail_container_service
AWS::Logs::Delivery,logs:delivery,aws_cloudwatch_log_delivery
AWS::Logs::LogGroup,logs:log-group,aws_cloudwatch_log_group
AWS::Logs::Destination,logs:destination,aws_cloudwatch_log_destination
AWS::Logs::DeliveryDestination,logs:delivery-destination,aws_cloudwatch_log_delivery_destination
AWS::Logs::LogAnomalyDetector,logs:anomaly-detector,aws_cloudwatch_log_anomaly_detector
AWS::Logs::DeliverySource,logs:delivery-source,aws_cloudwatch_log_delivery_source
AWS::LookoutMetrics::Alert,lookoutmetrics:Alert,
AWS::LookoutMetrics::AnomalyDetector,lookoutmetrics:AnomalyDetector,
AWS::M2::Environment,m2:env,
AWS::ManagedBlockchain::Accessor,managedblockchain:accessors,
AWS::MediaConnect::FlowOutput,mediaconnect:output,
AWS::MediaConnect::FlowEntitlement,mediaconnect:entitlement,
AWS::MediaConnect::Flow,mediaconnect:flow,
AWS::MediaConnect::FlowSource,mediaconnect:source,
AWS::MediaConvert::Preset,mediaconvert:presets,
AWS::MediaConvert::Queue,mediaconvert:queues,
AWS::MediaLive::CloudWatchAlarmTemplateGroup,medialive:cloudwatch-alarm-template-group,
AWS::MediaLive::SignalMap,medialive:signal-map,
AWS::MediaLive::InputSecurityGroup,medialive:inputSecurityGroup,aws_medialive_input_security_group
AWS::MediaLive::SdiSource,medialive:sdiSource,
AWS::MediaLive::EventBridgeRuleTemplateGroup,medialive:eventbridge-rule-template-group,
AWS::MediaLive::Multiplex,medialive:multiplex,aws_medialive_multiplex
AWS::MediaLive::ChannelPlacementGroup,medialive:channelPlacementGroup,
AWS::MediaLive::Network,medialive:network,
AWS::MediaLive::CloudWatchAlarmTemplate,medialive:cloudwatch-alarm-template,
AWS::MediaLive::EventBridgeRuleTemplate,medialive:eventbridge-rule-template,
AWS::MediaPackage::OriginEndpoint,mediapackage:origin_endpoints,
AWS::MediaPackage::Channel,mediapackage:channels,
AWS::MediaPackage::PackagingConfiguration,mediapackage-vod:packaging-configurations,
AWS::MediaPackage::PackagingGroup,mediapackage-vod:packaging-groups,
AWS::MediaPackage::Asset,mediapackage-vod:assets,
AWS::MediaPackageV2::OriginEndpoint,mediapackagev2:channelGroup/channel/originEndpoint,
AWS::MediaPackageV2::Channel,mediapackagev2:channelGroup/channel,
AWS::MediaPackageV2::ChannelGroup,mediapackagev2:channelGroup,
AWS::MediaTailor::LiveSource,mediatailor:liveSource,
AWS::MediaTailor::SourceLocation,mediatailor:sourceLocation,
AWS::MediaTailor::Channel,mediatailor:channel,
AWS::MediaTailor::PlaybackConfiguration,mediatailor:playbackConfiguration,
AWS::MediaTailor::VodSource,mediatailor:vodSource,
AWS::HealthImaging::Datastore,medical-imaging:datastore,
AWS::MemoryDB::ParameterGroup,memorydb:parametergroup,aws_memorydb_parameter_group
AWS::MemoryDB::SubnetGroup,memorydb:subnetgroup,aws_memorydb_subnet_group
AWS::MemoryDB::Cluster,memorydb:cluster,aws_memorydb_cluster
AWS::MemoryDB::User,memorydb:user,aws_memorydb_user
AWS::MemoryDB::ACL,memorydb:acl,aws_memorydb_acl
AWS::Pinpoint::App,mobiletargeting:apps,aws_pinpoint_app
AWS::AmazonMQ::Broker,mq:broker,aws_mq_broker
AWS::AmazonMQ::Configuration,mq:configuration,aws_mq_configuration
AWS::NetworkFirewall::Firewall,network-firewall:firewall,aws_networkfirewall_firewall
AWS::NetworkFirewall::FirewallPolicy,network-firewall:firewall-policy,aws_networkfirewall_firewall_policy
AWS::NetworkFirewall::RuleGroup,network-firewall:stateless-rulegroup,aws_networkfirewall_rule_group
AWS::NetworkManager::Device,networkmanager:device,aws_networkmanager_device
AWS::NetworkManager::CoreNetwork,networkmanager:core-network,aws_networkmanager_core_network
AWS::NetworkManager::GlobalNetwork,networkmanager:global-network,aws_networkmanager_global_network
AWS::NetworkManager::Site,networkmanager:site,aws_networkmanager_site
AWS::NetworkManager::ConnectPeer,networkmanager:connect-peer,aws_networkmanager_connect_peer
AWS::NetworkManager::Link,networkmanager:link,aws_networkmanager_link
AWS::NotificationsContacts::EmailContact,notifications-contacts:emailcontact,aws_notificationscontacts_email_contact
AWS::Oam::Sink,oam:sink,aws_oam_sink
AWS::Omics::RunGroup,omics:runGroup,
AWS::Omics::ReferenceStore,omics:referenceStore,
AWS::Omics::SequenceStore,omics:sequenceStore,
AWS::Omics::Workflow,omics:workflow,
AWS::Organizations::OrganizationalUnit,organizations:ou,aws_organizations_organizational_unit
AWS::Organizations::Account,organizations:account,aws_organizations_account
AWS::Organizations::ResourcePolicy,organizations:resourcepolicy,aws_organizations_resource_policy
AWS::OSIS::Pipeline,osis:pipeline,aws_osis_pipeline
AWS::Panorama::Package,panorama:package,
AWS::PaymentCryptography::Key,payment-cryptography:key,aws_paymentcryptography_key
AWS::Personalize::Solution,personalize:solution,
AWS::Personalize::Dataset,personalize:dataset,
AWS::Personalize::DatasetGroup,personalize:dataset-group,
AWS::Pipes::Pipe,pipes:pipe,aws_pipes_pipe
AWS::CustomerProfiles::Domain,profile:domains,aws_customerprofiles_domain
AWS::CustomerProfiles::Integration,profile:domains/integrations,
AWS::CustomerProfiles::ObjectType,profile:domains/object-types,
AWS::Proton::ServiceTemplate,proton:service-template,
AWS::Proton::EnvironmentTemplate,proton:environment-template,
AWS::Proton::EnvironmentAccountConnection,proton:environment-account-connection,
AWS::RAM::ResourceShare,ram:resource-share,aws_ram_resource_share
AWS::Rbin::Rule,rbin:rule,aws_rbin_rule
AWS::RDS::DBProxyEndpoint,rds:db-proxy-endpoint,aws_db_proxy_endpoint
AWS::RDS::DBSubnetGroup,rds:subgrp,aws_db_subnet_group
AWS::Neptune::DBInstance,rds:db,aws_db_instance
AWS::RDS::GlobalCluster,rds:global-cluster,aws_rds_global_cluster
AWS::RDS::CustomDBEngineVersion,rds:cev,aws_rds_custom_db_engine_version
AWS::RDS::DBProxyTargetGroup,rds:target-group,
AWS::RDS::DBSecurityGroup,rds:secgrp,
AWS::RDS::DBParameterGroup,rds:pg,aws_db_parameter_group
AWS::RDS::EventSubscription,rds:es,aws_db_event_subscription
AWS::DocDB::DBCluster,rds:cluster,aws_docdb_cluster
AWS::RDS::DBProxy,rds:db-proxy,aws_db_proxy
AWS::RDS::OptionGroup,rds:og,aws_db_option_group
AWS::Redshift::Integration,redshift:integration,aws_redshift_integration
AWS::Redshift::ClusterParameterGroup,redshift:parametergroup,aws_redshift_parameter_group
AWS::Redshift::EventSubscription,redshift:eventsubscription,aws_redshift_event_subscription
AWS::Redshift::Cluster,redshift:cluster,aws_redshift_cluster
AWS::Redshift::ClusterSubnetGroup,redshift:subnetgroup,aws_redshift_subnet_group
AWS::RedshiftServerless::Namespace,redshift-serverless:namespace,aws_redshiftserverless_namespace
AWS::RedshiftServerless::Workgroup,redshift-serverless:workgroup,aws_redshiftserverless_workgroup
AWS::RefactorSpaces::Service,refactor-spaces:environment/application/service,
AWS::RefactorSpaces::Application,refactor-spaces:environment/application,
AWS::RefactorSpaces::Environment,refactor-spaces:environment,
AWS::RefactorSpaces::Route,refactor-spaces:environment/application/route,
AWS::Rekognition::Collection,rekognition:collection,
AWS::ResilienceHub::ResiliencyPolicy,resiliencehub:resiliency-policy,aws_resiliencehub_resiliency_policy
AWS::ResilienceHub::App,resiliencehub:app,
AWS::ResourceGroups::Group,resource-groups:group,aws_resourcegroups_group
AWS::RoboMaker::RobotApplication,robomaker:robot-application,
AWS::Route53::HostedZone,route53:hostedzone,aws_route53_zone
AWS::Route53::HealthCheck,route53:healthcheck,aws_route53_health_check
AWS::Route53RecoveryControl::ControlPanel,route53-recovery-control:controlpanel,aws_route53recoverycontrolconfig_control_panel
AWS::Route53RecoveryControl::SafetyRule,route53-recovery-control:controlpanel/safetyrule,aws_route53recoverycontrolconfig_safety_rule
AWS::Route53RecoveryControl::Cluster,route53-recovery-control:cluster,aws_route53recoverycontrolconfig_cluster
AWS::Route53RecoveryReadiness::Cell,route53-recovery-readiness:cell,aws_route53recoveryreadiness_cell
AWS::Route53RecoveryReadiness::ReadinessCheck,route53-recovery-readiness:readiness-check,aws_route53recoveryreadiness_readiness_check
AWS::Route53RecoveryReadiness::RecoveryGroup,route53-recovery-readiness:recovery-group,aws_route53recoveryreadiness_recovery_group
AWS::Route53RecoveryReadiness::ResourceSet,route53-recovery-readiness:resource-set,aws_route53recoveryreadiness_resource_set
AWS::Route53Profiles::Profile,route53profiles:profile,aws_route53profiles_profile
AWS::Route53Profiles::ProfileAssociation,route53profiles:profile-association,aws_route53profiles_association
AWS::Route53Resolver::FirewallDomainList,route53resolver:firewall-domain-list,aws_route53_resolver_firewall_domain_list
AWS::Route53Resolver::FirewallRuleGroup,route53resolver:firewall-rule-group,aws_route53_resolver_firewall_rule_group
AWS::Route53Resolver::ResolverQueryLoggingConfig,route53resolver:resolver-query-log-config,aws_route53_resolver_query_log_config
AWS::Route53Resolver::ResolverEndpoint,route53resolver:resolver-endpoint,aws_route53_resolver_endpoint
AWS::Route53Resolver::FirewallRuleGroupAssociation,route53resolver:firewall-rule-group-association,aws_route53_resolver_firewall_rule_group_association
AWS::Route53Resolver::ResolverRule,route53resolver:resolver-rule,aws_route53_resolver_rule
AWS::RUM::AppMonitor,rum:appmonitor,aws_rum_app_monitor
AWS::S3::StorageLensGroup,s3:storage-lens-group,
AWS::S3::StorageLens,s3:storage-lens,
AWS::S3::Bucket,s3:bucket,aws_s3_bucket
AWS::S3::AccessPoint,s3:accesspoint,aws_s3_access_point
AWS::S3Express::DirectoryBucket,s3express:bucket,aws_s3_directory_bucket
AWS::SageMaker::AppImageConfig,sagemaker:app-image-config,aws_sagemaker_app_image_config
AWS::SageMaker::NotebookInstanceLifecycleConfig,sagemaker:notebook-instance-lifecycle-config,aws_sagemaker_notebook_instance_lifecycle_configuration
AWS::SageMaker::ModelQualityJobDefinition,sagemaker:model-quality-job-definition,
AWS::SageMaker::MonitoringSchedule,sagemaker:monitoring-schedule,aws_sagemaker_monitoring_schedule
AWS::SageMaker::InferenceComponent,sagemaker:inference-component,
AWS::SageMaker::MlflowTrackingServer,sagemaker:mlflow-tracking-server,aws_sagemaker_mlflow_tracking_server
AWS::SageMaker::App,sagemaker:app,aws_sagemaker_app
AWS::SageMaker::UserProfile,sagemaker:user-profile,aws_sagemaker_user_profile
AWS::SageMaker::FeatureGroup,sagemaker:feature-group,aws_sagemaker_feature_group
AWS::SageMaker::ModelPackage,sagemaker:model-package,
AWS::SageMaker::NotebookInstance,sagemaker:notebook-instance,aws_sagemaker_notebook_instance
AWS::SageMaker::ProcessingJob,sagemaker:processing-job,
AWS::SageMaker::Domain,sagemaker:domain,aws_sagemaker_domain
AWS::SageMaker::DataQualityJobDefinition,sagemaker:data-quality-job-definition,aws_sagemaker_data_quality_job_definition
AWS::SageMaker::ModelCard,sagemaker:model-card,
AWS::SageMaker::Model,sagemaker:model,aws_sagemaker_model
AWS::SageMaker::Endpoint,sagemaker:endpoint,aws_sagemaker_endpoint
AWS::SageMaker::InferenceExperiment,sagemaker:inference-experiment,
AWS::SageMaker::Pipeline,sagemaker:pipeline,aws_sagemaker_pipeline
AWS::SageMaker::Project,sagemaker:project,aws_sagemaker_project
AWS::SageMaker::ModelPackageGroup,sagemaker:model-package-group,aws_sagemaker_model_package_group
AWS::SageMaker::ModelBiasJobDefinition,sagemaker:model-bias-job-definition,
AWS::SageMaker::Image,sagemaker:image,aws_sagemaker_image
AWS::SageMaker::Cluster,sagemaker:cluster,
AWS::SageMaker::EndpointConfig,sagemaker:endpoint-config,aws_sagemaker_endpoint_configuration
AWS::SageMaker::StudioLifecycleConfig,sagemaker:studio-lifecycle-config,aws_sagemaker_studio_lifecycle_config
AWS::SageMaker::Workteam,sagemaker:workteam,aws_sagemaker_workteam
AWS::SageMaker::Space,sagemaker:space,aws_sagemaker_space
AWS::SageMaker::ModelExplainabilityJobDefinition,sagemaker:model-explainability-job-definition,
AWS::SageMaker::CodeRepository,sagemaker:code-repository,aws_sagemaker_code_repository
AWS::Scheduler::ScheduleGroup,scheduler:schedule-group,aws_scheduler_schedule_group
AWS::EventSchemas::Discoverer,schemas:discoverer,aws_schemas_discoverer
AWS::EventSchemas::Registry,schemas:registry,aws_schemas_registry
AWS::EventSchemas::Schema,schemas:schema,aws_schemas_schema
AWS::SecretsManager::Secret,secretsmanager:secret,aws_secretsmanager_secret
AWS::SecurityHub::HubV2,securityhub:hubv2,
AWS::ServiceCatalogAppRegistry::AttributeGroup,servicecatalog:attribute-groups,aws_servicecatalogappregistry_attribute_group
AWS::ServiceCatalogAppRegistry::Application,servicecatalog:applications,aws_servicecatalogappregistry_application
AWS::ServiceDiscovery::Service,servicediscovery:service,aws_service_discovery_service
AWS::SES::MailManagerIngressPoint,ses:mailmanager-ingress-point,
AWS::SES::EmailIdentity,ses:identity,aws_sesv2_email_identity
AWS::SES::MailManagerTrafficPolicy,ses:mailmanager-traffic-policy,
AWS::SES::MailManagerRuleSet,ses:mailmanager-rule-set,
AWS::SES::ConfigurationSet,ses:configuration-set,aws_sesv2_configuration_set
AWS::SES::ContactList,ses:contact-list,aws_sesv2_contact_list
AWS::SES::MailManagerArchive,ses:mailmanager-archive,
AWS::SES::DedicatedIpPool,ses:dedicated-ip-pool,aws_sesv2_dedicated_ip_pool
AWS::Signer::SigningProfile,signer:signing-profiles,aws_signer_signing_profile
AWS::SNS::Topic,sns:topic,aws_sns_topic
AWS::SQS::Queue,sqs:queue,aws_sqs_queue
AWS::SSM::PatchBaseline,ssm:patchbaseline,aws_ssm_patch_baseline
AWS::SSM::MaintenanceWindow,ssm:maintenancewindow,aws_ssm_maintenance_window
AWS::SSM::Association,ssm:association,aws_ssm_association
AWS::SSM::Parameter,ssm:parameter,aws_ssm_parameter
AWS::SSM::Document,ssm:document,aws_ssm_document
AWS::SSMIncidents::ResponsePlan,ssm-incidents:response-plan,aws_ssmincidents_response_plan
AWS::SSMIncidents::ReplicationSet,ssm-incidents:replication-set,aws_ssmincidents_replication_set
AWS::StepFunctions::Activity,states:activity,aws_sfn_activity
AWS::StepFunctions::StateMachine,states:stateMachine,aws_sfn_state_machine
AWS::Synthetics::Group,synthetics:group,aws_synthetics_group
AWS::Synthetics::Canary,synthetics:canary,aws_synthetics_canary
AWS::Timestream::Table,timestream:database/table,aws_timestreamwrite_table
AWS::Timestream::Database,timestream:database,aws_timestreamwrite_database
AWS::Timestream::ScheduledQuery,timestream:scheduled-query,aws_timestreamquery_scheduled_query
AWS::Transfer::Server,transfer:server,aws_transfer_server
AWS::Transfer::Profile,transfer:profile,aws_transfer_profile
AWS::Transfer::User,transfer:user,aws_transfer_user
AWS::Transfer::Workflow,transfer:workflow,aws_transfer_workflow
AWS::Transfer::Agreement,transfer:agreement,aws_transfer_agreement
AWS::Transfer::Certificate,transfer:certificate,aws_transfer_certificate
AWS::Transfer::Connector,transfer:connector,aws_transfer_connector
AWS::VerifiedPermissions::PolicyStore,verifiedpermissions:policy-store,aws_verifiedpermissions_policy_store
AWS::VpcLattice::ServiceNetworkServiceAssociation,vpc-lattice:servicenetworkserviceassociation,aws_vpclattice_service_network_service_association
AWS::VpcLattice::AccessLogSubscription,vpc-lattice:accesslogsubscription,aws_vpclattice_access_log_subscription
AWS::VpcLattice::Rule,vpc-lattice:service/listener/rule,aws_vpclattice_listener_rule
AWS::VpcLattice::Listener,vpc-lattice:service/listener,aws_vpclattice_listener
AWS::VpcLattice::ServiceNetwork,vpc-lattice:servicenetwork,aws_vpclattice_service_network
AWS::VpcLattice::TargetGroup,vpc-lattice:targetgroup,aws_vpclattice_target_group
AWS::VpcLattice::Service,vpc-lattice:service,aws_vpclattice_service
AWS::VpcLattice::ServiceNetworkVpcAssociation,vpc-lattice:servicenetworkvpcassociation,aws_vpclattice_service_network_vpc_association
AWS::Wisdom::AIAgent,wisdom:ai-agent,
AWS::Wisdom::Assistant,wisdom:assistant,
AWS::Wisdom::KnowledgeBase,wisdom:knowledge-base,
AWS::Wisdom::AssistantAssociation,wisdom:association,
AWS::WorkSpaces::ConnectionAlias,workspaces:connectionalias,aws_workspaces_connection_alias
AWS::WorkSpaces::WorkspacesPool,workspaces:workspacespool,
AWS::WorkSpacesWeb::UserAccessLoggingSettings,workspaces-web:userAccessLoggingSettings,aws_workspacesweb_user_access_logging_settings
AWS::WorkSpacesWeb::TrustStore,workspaces-web:trustStore,aws_workspacesweb_trust_store
AWS::WorkSpacesWeb::NetworkSettings,workspaces-web:networkSettings,aws_workspacesweb_network_settings
AWS::WorkSpacesWeb::IpAccessSettings,workspaces-web:ipAccessSettings,aws_workspacesweb_ip_access_settings
AWS::WorkSpacesWeb::BrowserSettings,workspaces-web:browserSettings,aws_workspacesweb_browser_settings
AWS::WorkSpacesWeb::UserSettings,workspaces-web:userSettings,aws_workspacesweb_user_settings
AWS::WorkSpacesWeb::Portal,workspaces-web:portal,aws_workspacesweb_portal
AWS::XRay::Group,xray:group,aws_xray_group
AWS::XRay::SamplingRule,xray:sampling-rule,aws_xray_sampling_rule
